soup time 3996 pop 282525 ratio 1.0 space 32768 30 32802 1258 rule lifelib r2b3f90c0sf6c1e0 sumpop 1178344068 i 5  Pw2ratio 8.62198
soup time 3996 pop 182025 ratio 0.8 space 32768 30 32839 3295 rule lifelib r2b5f90c0s9ec1e0 sumpop 951515556 i 43  Pw2ratio 5.55496
soup time 3996 pop 148094 ratio 0.7 space 32768 30 32690 2404 rule lifelib r2b6d08c0sc043c0 sumpop 894026568 i 39  Pw2ratio 4.51947
soup time 3996 pop 114085 ratio 0.6 space 32768 30 32445 722 rule lifelib r2b002640s0091e0 sumpop 901134996 i 36  Pw2ratio 3.4816
soup time 3996 pop 73518 ratio 0.6 space 32768 30 34623 4034 rule lifelib r2b8022c0s0841e0 sumpop 592544232 i 7  Pw2ratio 2.24359
soup time 3996 pop 56493 ratio 0.4 space 32768 30 32393 4312 rule lifelib r2b310ac0s6e03c0 sumpop 670512420 i 40  Pw2ratio 1.72403
soup time 3996 pop 38543 ratio 0.3 space 32768 30 33051 5842 rule lifelib r2b7098c0s2403c0 sumpop 574368984 i 46  Pw2ratio 1.17624
soup time 3996 pop 37117 ratio 0.5 space 32768 30 34737 4010 rule lifelib r2be700c0s2851e0 sumpop 409130520 i 32  Pw2ratio 1.13272
soup time 3996 pop 36550 ratio 0.3 space 32768 30 36531 5836 rule lifelib r2b0418c0s0703c0 sumpop 581583072 i 4  Pw2ratio 1.11542
soup time 3996 pop 34794 ratio 0.4 space 32768 30 35237 3988 rule lifelib r2bbea0c0s2fa1e0 sumpop 446994636 i 37  Pw2ratio 1.06183
soup time 3996 pop 28331 ratio 0.6 space 32768 30 33751 4012 rule lifelib r2b0100c0s0c51e0 sumpop 301315332 i 23  Pw2ratio 0.864594
soup time 3996 pop 27292 ratio 0.3 space 32768 30 34819 2406 rule lifelib r2ba948c0s9903c0 sumpop 550893840 i 43  Pw2ratio 0.832886
soup time 3996 pop 26853 ratio 0.4 space 32768 30 32812 2140 rule lifelib r2b058240s7343e0 sumpop 339398412 i 15  Pw2ratio 0.819489
soup time 3996 pop 24322 ratio 0.4 space 32768 30 35469 3996 rule lifelib r2bdba0c0s1f21e0 sumpop 349933296 i 28  Pw2ratio 0.742249
soup time 3996 pop 24263 ratio 0.8 space 32768 30 33078 3978 rule lifelib r2b3580c0sef91e0 sumpop 257255748 i 48  Pw2ratio 0.740448
soup time 3996 pop 23549 ratio 0.5 space 32768 30 32729 1053 rule lifelib r2b0a90c0s0cc1e0 sumpop 327954048 i 30  Pw2ratio 0.718658
soup time 3996 pop 20055 ratio 1.0 space 32768 30 34730 3995 rule lifelib r2b0a80c0s1a91e0 sumpop 154649532 i 32  Pw2ratio 0.61203
soup time 3996 pop 18941 ratio 1.0 space 32768 30 33652 4019 rule lifelib r2b1000c0s0051e0 sumpop 114065028 i 13  Pw2ratio 0.578033
soup time 3996 pop 18900 ratio 1.0 space 32768 30 33736 4015 rule lifelib r2b0000c0s0051e0 sumpop 113928624 i 2  Pw2ratio 0.576782
soup time 3996 pop 18759 ratio 1.0 space 32768 30 34291 4022 rule lifelib r2bb400c0s3809e0 sumpop 112712196 i 30  Pw2ratio 0.572479
soup time 3996 pop 18161 ratio 1.0 space 32768 30 32770 4032 rule lifelib r2b4000c0s2051e0 sumpop 110815116 i 13  Pw2ratio 0.55423
soup time 3996 pop 17664 ratio 1.0 space 32768 30 32715 3995 rule lifelib r2bb080c0s5311e0 sumpop 95829672 i 7  Pw2ratio 0.539062
soup time 3996 pop 17524 ratio 1.0 space 32768 30 32747 4024 rule lifelib r2be800c0s8911e0 sumpop 78956292 i 10  Pw2ratio 0.53479
soup time 3996 pop 17348 ratio 1.0 space 32768 30 34766 4013 rule lifelib r2ba980c0sad11e0 sumpop 101879400 i 22  Pw2ratio 0.529419
soup time 3996 pop 17128 ratio 1.0 space 32768 30 32602 4019 rule lifelib r2b4300c0s2511e0 sumpop 83502636 i 16  Pw2ratio 0.522705
soup time 3996 pop 17000 ratio 1.0 space 32768 30 33738 4022 rule lifelib r2b4080c0s6e11e0 sumpop 83095932 i 38  Pw2ratio 0.518799
soup time 3996 pop 16915 ratio 1.0 space 32768 30 34420 4009 rule lifelib r2b0300c0s3291e0 sumpop 99657648 i 38  Pw2ratio 0.516205
soup time 3996 pop 16835 ratio 1.0 space 32768 30 32748 4032 rule lifelib r2b1900c0sed11e0 sumpop 81302904 i 32  Pw2ratio 0.513763
soup time 3996 pop 16760 ratio 1.0 space 32768 30 32805 4022 rule lifelib r2b0000c0s4491e0 sumpop 82109184 i 24  Pw2ratio 0.511475
soup time 3996 pop 16512 ratio 1.0 space 32768 30 33250 4012 rule lifelib r2b6b00c0s3f11e0 sumpop 83920476 i 23  Pw2ratio 0.503906
soup time 3996 pop 16486 ratio 1.0 space 32768 30 33956 4024 rule lifelib r2b7a80c0s4b11e0 sumpop 96823224 i 8  Pw2ratio 0.503113
soup time 3996 pop 16464 ratio 1.0 space 32768 30 33111 4017 rule lifelib r2b7b80c0sa011e0 sumpop 82125288 i 1  Pw2ratio 0.502441
soup time 3996 pop 16367 ratio 1.0 space 32768 30 34691 4025 rule lifelib r2b6500c0s0011e0 sumpop 72873276 i 13  Pw2ratio 0.499481
soup time 3996 pop 16285 ratio 1.0 space 32768 30 34732 4017 rule lifelib r2b1180c0s8411e0 sumpop 80661300 i 40  Pw2ratio 0.496979
soup time 3996 pop 16196 ratio 1.0 space 32768 30 33320 4023 rule lifelib r2b0000c0s3211e0 sumpop 71983692 i 31  Pw2ratio 0.494263
soup time 3996 pop 16161 ratio 1.0 space 32768 30 33347 4034 rule lifelib r2b0100c0s4011e0 sumpop 72074724 i 32  Pw2ratio 0.493195
soup time 3996 pop 16086 ratio 1.0 space 32768 30 34523 4007 rule lifelib r2b5800c0s0811e0 sumpop 70245804 i 47  Pw2ratio 0.490906
