1. B2-ak3eqry4aciw5-akr6-a7e/S012aik3ry4rwyz5ekqry6n7c8
2. B2eik3ciy4ijnrtw5-ae7/S12eik3-cer4eikqry5-ekqy7c
3. B2cek3ejkn4aceijnt5-cejr6cek7e/S1c2ikn3-ijy4-aekqr5ejny6kn7c8
4. B2ekn3eiry4aertwyz5-aknr6-in8/S01c2ak3-eiy4-acntw5-er6ack7c
5. B2-ac3aikqy4acejnqz5-cn6cn7e/S2ein3-eqr4-cijwy5-ijqy6-cn8
6. B2-ac3-ekny4ajnryz5acknq6cik7e/S12cik3-jry4qtw5acnqr6ein7
7. B2cn3ainqy4aeijqrw5-ceiy6en7e8/S01c2-n3ciqry4ckrwy5-aen6kn7e8
8. B2ce3iry4cijnqt5-ceik6-e7e/S1c23acijr4-rwyz5qy7c8
9. B2cei3enr4ijkqwy5-qr6ci78/S01c2in3einy4-cntz5ajqy6en7e
10. B2c3-kqry4-ekrw5ceq6cn/S01c2-en3-ceq4ejkrwyz5cinr7c8
11. B2-ae3-ejky4aeinry5aenqy6ce78/S2-cn3-cenq4-akty5-ijk6cn7e
12. B2-an3ajny4eijtw5cjnqr6-ek7e/S2-in3-cekr4acjknz5jkqry6ck78
13. B2-ae3-ceik4aejkqt5-aijn6n7c8/S02cen3aejq4-eiyz5akqr6ek
14. B2-ai3ejqry4aijknr5inr6-an7e/S2-ck3cejr4eijqrwy5cknq6c78
15. B2e3ijry4aejrwz5-eijy6-ck8/S01e2ace3-i4acjnqwy5-jknr6-ck78
16. B2ei3aeiq4-nqr5cnqry6cn7/S012ei3ijkr4ajkrwyz5cjkny6aen8
17. B2-ak3-enr4einwz5aejy6ci78/S02aen3-jknq4cknqtwz5-air6ae7c8
18. B2cek3-inr4ackqwyz5-jn6in7c8/S1c2kn3eky4ceqrwyz5-acey6-ck78
19. B2-ae3-cen4enz5-aeiy6-i7c/S02ack3-aekq4-acny5ajkqy6ekn7e8
20. B2cen3cin4ceknqtz5iny6ckn7e8/S1e2ak3cjkq4-aciny5cijkr6aei7e8
21. B2-ak3-cejy4jqrw5-acjq6aik7c/S12ein3jkry4cejqtz5-ejry6ace7e
22. B2en3cinqy4cknz5jqr6-in7c8/S01e2kn3ejkq4eijknqz5ckq6-a8
23. B2en3ijnr4-ikrt5acry6-n7e/S02ekn3-ikry4aeijrw5aejkr6ce7e
24. B2ce3-cejq4ekqtyz5-anqy6cn7c8/S12ik3jnr4erw5kqr6-kn7
25. B2-ak3-aejq4eiqrt5-jnqy6ci/S02-ai3-acnr4-ajrty5ack6aik7e8
26. B2-ak3ei4cijnwyz5aqy6ein78/S01e2cik3-ikqy4cjnr5aei6-kn7e
27. B2-a3ejy4aktw5aenry6eik7/S2-ek3-cin4-jqz5acenq6cn78
28. B2k3-ekqy4qwz5-iknr6ei7e/S1e2-ce3ceir4aciz5-ijnr6in8
29. B2cn3-ijkq4-anrty5acikn6ac7c8/S2-k3cjkn4cryz5cijkn6cik7
30. B2cen3cejkr4cikrz5ay6-ae/S2ei3ejn4eknrwy5-ejkr6ack7e8
31. B2-ak3eknr4eijnry5ceikq6-cn7e8/S012ekn3inry4-acej5jn6-ak78
32. B2ce3aijy4acknwy5aciky6-ae/S02cek3cinqr4-certy5jknr6acn
33. B2ci3aeinr4-acijq5cen6-an/S2-in3-ijkr4-ijnrt5kqr6-ei7c
34. B2en3-ar4anty5aijkn6a/S1c2cen3acery4cjnrtwy5-ijqy6ack7e8
35. B2-ae3-k4ackqw5-ikqr6-ai7e/S02ik3-knq4iqrtyz5cnqy6ci8
36. B2en3aciqy4-aeit5ejnr6ein7e/S02-a3-aikn4-anrw5cekn6ci7e
37. B2-an3-ajq4ikny5ciqry6-k7/S01c2ein3aijkq4ejkrz5-ace6-in8
38. B3-ckn4ceryz5cijry6an7/S012n3-ejkq4aeiqwy5eijq6-ce7e
39. B2-an3iknry4ceijrwz5cejqy6-ce7c/S01c2-ik3-cjr4knw5cj6an7e
40. B2in3-ekq4knrtwyz5-ijqy6-e7e8/S01e2-ik3anr4-cekny5aekry6-e7c8
41. B2ce3acjry4ijtw5ejkny67c8/S1e2-ei3-jkry4ejknrty5-aejr6-ck
42. B2cek3cky4cektwz5qr6ckn7/S01c2aen3-eir4-aiqz5-acy6e
43. B2e3-ckn4ijnqz5aciry6ei8/S1c2aci3-jnqy4-acntz5-enqy6-ae7c8
44. B2-ai3ainqy4cknr5aciky6aci78/S1c2cik3anqy4eijkqrz5-ceqy6-kn7e
45. B2cek3-eiqy4ckrwz5-kqr6cei7e8/S01c2aci3ir4cz5-aeiq6ein7e8
46. B2ci3ackr4aceqrw5cjqy6kn8/S12-ek3ejky4acknw5enqy6eik7c8
47. B2ei3iqy4iknqrwz5ain6ekn7c8/S01c2cin3aciy4-jnqz5-eiy6akn7c8
48. B2ckn3-ijr4cinqtw5ijknr6aei7/S1e2en3-eknq4ajkqtyz5-cqry6an7
49. B2ce3-en4cjknrwy5-ekny6aci7c8/S02-an3kq4ackq5-cnqy678
50. B2ik3-nqr4-jntyz5-ekqr6ac7e8/S012ein3ck4aceknyz5aciny6ei7
51. B2cek3cky4ikntz5-jqr6ace/S2-n3ejkn4-aqrtz5aejkq6cik7e
52. B2-an3ejkqy4act5-iqy6-ce7c8/S01e2-en3cknry4ekntw5ijknr6ck7e
53. B2-a3acejr4-anwz5-anry6-an7c8/S12aei3-jn4aijntwz5-eiqr6aen78
54. B2eik3-ackn4acir5aij6-ci78/S2ain3-ei4-eikz5cijr8
55. B2-ai3ejkry4cijntwy5acekr6cek7c/S12ce3q4-cnw5-aekn6ce7e8
56. B2ik3-cej4-nrwy5ajn6in7c/S01e2ak3cei4aijkty5-ejnr6cin8
57. B2eik3-knry4-cjnz5ej67e8/S1c2an3anqr4eikrwyz5cjkq6ain7e
58. B2ei3-ejky4-cknry5ceijq6-in7/S2-e3ain4aijknqz5-cij6-ci7e8
59. B2-ak3acij4ekqrtw5-cqry6-k/S012-ck3-knr4acijqry5-ejr6-cn
60. B2ci3-cjkq4-aikqt5aeny6ae78/S2ac3cjkqr4ikqw5ijkqy6-ak7c8
61. B2-ak3ceir4aejky5-ekq6-a78/S01e2cin3-ijqr4aciry5-cky6ack78
62. B2ekn3-aknr4anz5ceij6i7e8/S02ei3-ce4-nqty5aejn6ae8
63. B2cn3-k4ajnqrwz5ciq6a7c/S012k3-cnr4-aiqr5aeir6ci8
64. B2ei3ijknr4aejnqrw5einr6ae7e/S012ekn3ekqy4cijnw5jnq6-e7c
65. B2ekn3-ceqr4ceinrtw5-ceir6-ei78/S02-in3ainq4aez5-cqry6-kn78
66. B2cen3-ajnr4-jqwyz5aij6-cn8/S01c2ae3-aeqr4ejknrz5n6ei7
67. B2ekn3ijnry4aijnwyz5cq6ac7c8/S012eik3-ckqr4aejknt5aceqr6-cn
68. B2cek3cein4ikw5-cik6kn7c/S12eik3-ae4-acenw5acjkn6aek7
69. B2ce3ajnry4-acekr5-k6ac7e/S02aen3ciy4ajknrtz5enry6-ek8
70. B2cen3aciqr4aekty5-cn6acn7e8/S01e2cei3cnq4ceknq5-aeqr6cek78
71. B2-ak3ae4-ceyz5-ciq6-ci/S01e2ac3-cej4-cejnr5-anqy6akn7e8
72. B2-ak3acqr4eijz5-aiky6-ac78/S012eik3-acnq4rtwy5ijnq6-ei7
73. B2cei3ijry4ainy5iqy6-ek7e/S01c2ik3-jny4-cijnq5-eikq6ak7c8
74. B2i3-qr4-inqy5ikqry6ae78/S12in3-acry4cjktwyz5aejk6ck8
75. B2-ai3ajnry4aint5ainqy6-a7e8/S1c2aci3aijkr4ceintw5inqy6-ac7
76. B2-an3aeikq4acey5-jry6-ck7c/S2ekn3aein4airtw5ejny6ain7c
