procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1162024 129396 1031692    0    0     0     0  355  572 92  8  0  0  0
 3  0      0 1151236 129396 1031692    0    0     0     0  300  441 91  9  0  0  0
 1  0      0 1151236 129404 1031692    0    0     0    40  388  537 96  4  0  0  0
 1  0      0 1151236 129404 1031692    0    0     0     0  381  497 94  6  0  0  0
 1  0      0 1151236 129404 1031692    0    0     0     0  328  366 95  5  0  0  0
 1  0      0 1151236 129404 1031692    0    0     0     0  331  395 94  6  0  0  0
 1  0      0 1151236 129404 1031692    0    0     0     0  327  329 96  4  0  0  0
 1  0      0 1151236 129412 1031692    0    0     0    12  328  302 99  1  0  0  0
 1  0      0 1151200 129412 1031692    0    0     0     0  334  488 92  8  0  0  0
 1  0      0 1151236 129412 1031692    0    0     0     0  329  303 97  3  0  0  0
 1  0      0 1151236 129412 1031692    0    0     0     0  327  296 96  4  0  0  0
 1  0      0 1151236 129412 1031692    0    0     0     0  321  336 94  6  0  0  0
 1  0      0 1151236 129412 1031692    0    0     0     0  325  297 95  5  0  0  0
 1  0      0 1151236 129420 1031692    0    0     0    36  335  332 98  2  0  0  0
 1  0      0 1151236 129420 1031692    0    0     0     0  299  291 95  5  0  0  0
 1  0      0 1151236 129420 1031692    0    0     0     0  311  295 96  4  0  0  0
 1  0      0 1151340 129420 1031692    0    0     0     0  324  406 92  8  0  0  0
 1  0      0 1151360 129420 1031692    0    0     0    16  369  447 95  5  0  0  0
 1  0      0 1151360 129420 1031692    0    0     0     0  410  737 89 11  0  0  0
 2  0      0 1146276 129428 1031692    0    0     0    24  416  805 93  7  0  0  0
 1  0      0 1146276 129428 1031692    0    0     0     0  370  430 94  6  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1146276 129428 1031692    0    0     0     0  400  863 92  8  0  0  0
 1  0      0 1146276 129428 1031692    0    0     0    56  373  570 95  5  0  0  0
 1  0      0 1146276 129428 1031692    0    0     0     0  366  383 96  4  0  0  0
 1  0      0 1146276 129428 1031692    0    0     0     0  378  506 97  3  0  0  0
 1  0      0 1146276 129436 1031692    0    0     0    12  381  387 96  4  0  0  0
 2  0      0 1146276 129436 1031692    0    0     0     0  359  704 91  9  0  0  0
 1  0      0 1146276 129436 1031692    0    0     0     0  315  513 96  4  0  0  0
 1  0      0 1146276 129436 1031692    0    0     0     0  377  543 96  4  0  0  0
 3  0      0 1146028 129436 1031692    0    0     0     0  404  811 96  4  0  0  0
 1  0      0 1146028 129436 1031696    0    0     0     0  378  607 93  7  0  0  0
 1  0      0 1146028 129444 1031696    0    0     0    12  377  411 98  2  0  0  0
 1  0      0 1146028 129444 1031696    0    0     0     0  363  434 98  2  0  0  0
 1  0      0 1146028 129444 1031696    0    0     0     0  379  422 98  2  0  0  0
 1  0      0 1146028 129444 1031696    0    0     0     0  355  395 98  2  0  0  0
 1  0      0 1146028 129444 1031696    0    0     0     0  361  443 92  8  0  0  0
 1  0      0 1146028 129452 1031696    0    0     0    12  380  438 96  4  0  0  0
 1  0      0 1140324 129452 1031696    0    0     0     0  360  420 94  6  0  0  0
 1  0      0 1126932 129452 1031696    0    0     0     0  377  536 94  6  0  0  0
 1  0      0 1126388 129452 1031696    0    0     0     0  383  689 92  8  0  0  0
 1  0      0 1126436 129452 1031700    0    0     0     0  303  337 93  7  0  0  0
 1  0      0 1126436 129452 1031700    0    0     0     0  311  310 97  3  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1126436 129460 1031700    0    0     0    36  312  395 98  2  0  0  0
 1  0      0 1094992 129460 1031700    0    0     0     0  306  347 87 13  0  0  0
 1  0      0 1094992 129460 1031700    0    0     0     0  302  300 98  2  0  0  0
 1  0      0 1094992 129460 1031700    0    0     0     0  304  316 99  1  0  0  0
 1  0      0 1094992 129460 1031700    0    0     0     0  307  311 98  2  0  0  0
 4  0      0 1094564 129460 1031692    0    0     0     0  298  283 95  5  0  0  0
 2  0      0 1094564 129468 1031692    0    0     0    16  386  431 97  3  0  0  0
 1  0      0 1094564 129468 1031692    0    0     0     0  371  433 96  4  0  0  0
 1  0      0 1094564 129468 1031692    0    0     0     0  365  402 91  9  0  0  0
 1  0      0 1094564 129468 1031692    0    0     0     0  363  406 94  6  0  0  0
 1  0      0 1094564 129468 1031692    0    0     0     0  408  747 91  9  0  0  0
 1  0      0 1094564 129476 1031692    0    0     0    20  398  678 96  4  0  0  0
 2  0      0 1094564 129476 1031692    0    0     0     0  365  393 91  9  0  0  0
 2  0      0 1094564 129476 1031692    0    0     0     0  392  616 91  9  0  0  0
 2  0      0 1094564 129476 1031692    0    0     0     0  375  402 97  3  0  0  0
 3  0      0 1094564 129476 1031692    0    0     0     0  374  517 97  3  0  0  0
 1  0      0 1094564 129476 1031692    0    0     0    24  356  397 90 10  0  0  0
 1  0      0 1094564 129484 1031692    0    0     0    20  392  531 96  4  0  0  0
 1  0      0 1094564 129484 1031692    0    0     0     0  376  424 95  5  0  0  0
 2  0      0 1094564 129484 1031692    0    0     0     0  387  465 98  2  0  0  0
 1  0      0 1094564 129484 1031692    0    0     0     0  326  403 96  4  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1094564 129484 1031692    0    0     0     0  296  287 96  4  0  0  0
 1  0      0 1094564 129484 1031692    0    0     0     0  322  397 91  9  0  0  0
 2  0      0 1094564 129492 1031692    0    0     0    12  365  423 89 11  0  0  0
 2  0      0 1094564 129492 1031692    0    0     0     0  371  426 96  4  0  0  0
 1  0      0 1094564 129492 1031692    0    0     0     0  365  409 97  3  0  0  0
 1  0      0 1094564 129492 1031692    0    0     0    16  370  384 96  4  0  0  0
 1  0      0 1094564 129492 1031692    0    0     0     0  355  400 93  7  0  0  0
 1  0      0 1094516 129492 1031692    0    0     0     0  347  599 86 14  0  0  0
 2  0      0 1094564 129500 1031692    0    0     0    36  363  388 95  5  0  0  0
 1  0      0 1094564 129500 1031692    0    0     0     0  377  392 99  1  0  0  0
 1  0      0 1094564 129500 1031692    0    0     0     0  381  413 97  3  0  0  0
 1  0      0 1094564 129500 1031692    0    0     0    28  384  403 98  2  0  0  0
 2  0      0 1094564 129500 1031696    0    0     0     0  380  924 92  8  0  0  0
 1  0      0 1094668 129500 1031696    0    0     0     0  373  460 97  3  0  0  0
 1  0      0 1094688 129508 1031696    0    0     0    12  372  426 94  6  0  0  0
 1  0      0 1094688 129508 1031696    0    0     0     0  380  465 97  3  0  0  0
 1  0      0 1094688 129508 1031696    0    0     0     0  376  466 96  4  0  0  0
 1  0      0 1094688 129508 1031696    0    0     0     0  362  435 96  4  0  0  0
 1  0      0 1094688 129508 1031696    0    0     0     0  365  408 92  8  0  0  0
 1  0      0 1094688 129508 1031696    0    0     0     0  391  512 96  4  0  0  0
 1  0      0 1073668 129516 1031696    0    0     0    12  376  508 89 11  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1073668 129516 1031696    0    0     0     0  359  436 85 15  0  0  0
 1  0      0 1073668 129516 1031696    0    0     0     0  378  426 94  6  0  0  0
 1  0      0 1073668 129516 1031696    0    0     0     0  389  412 96  4  0  0  0
 1  0      0 1073668 129516 1031696    0    0     0     0  383  357 98  2  0  0  0
 1  0      0 1073668 129516 1031696    0    0     0     0  376  393 92  8  0  0  0
 1  0      0 1073668 129524 1031696    0    0     0    16  391  394 96  4  0  0  0
 1  0      0 1073232 129524 1031696    0    0     0     0  383  394 95  5  0  0  0
 1  0      0 1073232 129524 1031696    0    0     0     0  383  375 95  5  0  0  0
 1  0      0 1073232 129524 1031696    0    0     0     0  378  403 91  9  0  0  0
 1  0      0 1073232 129524 1031696    0    0     0     0  357  324 91  9  0  0  0
 1  0      0 1073232 129524 1031696    0    0     0     0  363  325 100  0  0  0  0
 1  0      0 1073232 129532 1031696    0    0     0    16  348  351 91  9  0  0  0
 1  0      0 1073232 129532 1031696    0    0     0     0  369  436 97  3  0  0  0
 1  0      0 1073232 129532 1031696    0    0     0     0  368  364 98  2  0  0  0
 1  0      0 1073232 129532 1031696    0    0     0     0  379  484 92  8  0  0  0
 1  0      0 1073232 129532 1031696    0    0     0     0  373  396 96  4  0  0  0
 1  0      0 1073232 129532 1031696    0    0     0     0  376  478 96  4  0  0  0
 1  0      0 1073100 129540 1031696    0    0     0    12  361  552 89 11  0  0  0
 2  0      0 1073108 129540 1031696    0    0     0     0  370  416 96  4  0  0  0
 1  0      0 1073108 129540 1031696    0    0     0     0  374  365 98  2  0  0  0
 2  0      0 1045316 129540 1031696    0    0     0     4  383  749 89 11  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 993236 129540 1031720    0    0     0     8  374  590 80 20  0  0  0
 2  0      0 932724 129540 1031720    0    0     0     0  297  377 83 17  0  0  0
 1  0      0 883868 129548 1031720    0    0     0    92  337  489 85 15  0  0  0
 2  0      0 852372 129548 1031720    0    0     0     0  346  710 90 10  0  0  0
 1  0      0 806616 129548 1031720    0    0     0     0  341  609 86 14  0  0  0
 2  0      0 790248 129548 1031720    0    0     0    84  333  727 87 13  0  0  0
 1  0      0 788388 129548 1031720    0    0     0     0  310  402 93  7  0  0  0
 1  0      0 786156 129548 1031720    0    0     0     0  326  377 95  5  0  0  0
 1  0      0 779584 129556 1031720    0    0     0    12  313  376 96  4  0  0  0
 1  0      0 770760 129556 1031720    0    0     0     0  328  422 88 12  0  0  0
 3  0      0 764704 129556 1031720    0    0     0     4  393  771 82 18  0  0  0
 2  0      0 761480 129556 1031876    0    0     0     0  392  610 87 13  0  0  0
 2  0      0 756272 129556 1032056    0    0     0     0  404  752 88 12  0  0  0
 1  0      0 750320 129556 1032236    0    0     0     0  369  479 92  8  0  0  0
 2  0      0 745484 129564 1032380    0    0     0    16  396  672 85 15  0  0  0
 1  0      0 738540 129564 1032460    0    0     0     0  369  521 91  9  0  0  0
 1  0      0 733952 129564 1032588    0    0     0     0  360  488 81 19  0  0  0
 1  0      0 726884 129564 1032792    0    0     0     0  370  495 89 11  0  0  0
 1  0      0 721180 129564 1032944    0    0     0     0  371  480 90 10  0  0  0
 2  0      0 716096 129572 1033104    0    0     0    16  411  714 91  8  0  1  0
 3  0      0 712996 129572 1033176    0    0     0     0  401  853 89 11  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 709276 129572 1033272    0    0     0     0  420  788 91  9  0  0  0
 1  0      0 704936 129572 1033348    0    0     0     0  341  639 89 11  0  0  0
 1  0      0 696380 129572 1033468    0    0     0     0  357  613 96  4  0  0  0
 1  0      0 689676 129580 1033688    0    0     0    16  342  462 92  8  0  0  0
 1  0      0 691164 129580 1033796    0    0     0     0  335  399 96  4  0  0  0
 1  0      0 691164 129580 1033872    0    0     0     0  329  388 98  2  0  0  0
 1  0      0 690652 129580 1033996    0    0     0     0  360  764 90 10  0  0  0
 1  0      0 690668 129580 1034224    0    0     0     0  324  392 98  2  0  0  0
 1  0      0 690296 129588 1034412    0    0     0    36  340  414 95  5  0  0  0
 1  0      0 690048 129588 1034564    0    0     0     0  315  398 95  5  0  0  0
 1  0      0 689800 129588 1034708    0    0     0  2916  328  392 96  4  0  0  0
 1  0      0 689304 129588 1034880    0    0     0     0  329  388 98  2  0  0  0
 4  0      0 689180 129588 1035012    0    0     0     0  377  484 91  9  0  0  0
 1  0      0 688932 129596 1035196    0    0     0    48  324  395 93  7  0  0  0
 1  0      0 688684 129596 1035368    0    0     0     0  335  391 97  3  0  0  0
 1  0      0 687692 129596 1035496    0    0     0     0  309  354 94  6  0  0  0
 1  0      0 687072 129596 1035620    0    0     0     0  318  374 95  5  0  0  0
 1  0      0 686824 129596 1035748    0    0     0     0  322  356 97  3  0  0  0
 1  0      0 686576 129604 1035908    0    0     0    16  333  399 95  5  0  0  0
 1  0      0 686328 129604 1036072    0    0     0     0  320  383 97  3  0  0  0
 2  0      0 734068 129604 1036172    0    0     0    48  323  376 92  8  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 733944 129604 1036316    0    0     0     0  316  358 98  2  0  0  0
 1  0      0 1072456 129604 1032836    0    0     0  3284  309  519 76 20  4  0  0
 1  0      0 1132968 129616 1032812    0    0     0   140  337  531 81 19  0  0  0
 1  0      0 1132968 129616 1032812    0    0     0     0  350  435 87 13  0  0  0
 1  0      0 1132952 129616 1032812    0    0     0     0  344  437 87 13  0  0  0
 1  0      0 1132952 129616 1032812    0    0     0     0  320  417 87 13  0  0  0
 1  0      0 1132952 129616 1032812    0    0     0     0  334  408 90 10  0  0  0
 1  0      0 1132952 129624 1032808    0    0     0    40  336  409 89 11  0  0  0
 2  0      0 1132952 129624 1032812    0    0     0     0  329  390 86 14  0  0  0
 1  0      0 1132952 129624 1032812    0    0     0     0  333  421 88 12  0  0  0
 1  0      0 1132952 129624 1032816    0    0     0     0  341  449 91  9  0  0  0
 1  0      0 1132952 129624 1032816    0    0     0     0  321  421 86 14  0  0  0
 1  0      0 1132952 129624 1032816    0    0     0     0  341  419 84 16  0  0  0
 2  0      0 1132952 129632 1032816    0    0     0    16  346  419 89 11  0  0  0
 1  0      0 1132952 129632 1032816    0    0     0     0  342  406 86 14  0  0  0
 1  0      0 1114584 129632 1032816    0    0     0     0  331  408 90 10  0  0  0
 1  0      0 1085320 129632 1032816    0    0     0     0  336  618 85 15  0  0  0
 2  0      0 1085320 129632 1032816    0    0     0     0  324  428 86 14  0  0  0
 2  0      0 1085320 129632 1032816    0    0     0     0  305  310 97  3  0  0  0
 1  0      0 1085320 129640 1032816    0    0     0    40  284  295 94  6  0  0  0
 2  0      0 1085320 129640 1032820    0    0     0     0  332  344 96  4  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 1039220 129640 1032820    0    0     0     0  332  365 93  7  0  0  0
 1  0      0 1039220 129640 1032820    0    0     0     0  319  269 98  2  0  0  0
 1  0      0 1039220 129640 1032820    0    0     0     0  333  313 99  1  0  0  0
 1  0      0 994688 129640 1032844    0    0     0     4  336  623 92  8  0  0  0
 2  0      0 944652 129648 1032844    0    0     0    80  314  447 87 13  0  0  0
 3  0      0 882032 129648 1032844    0    0     0     0  335  396 91  9  0  0  0
 1  0      0 841236 129648 1032844    0    0     0     0  361  674 93  7  0  0  0
 2  0      0 787048 129648 1032844    0    0     0     0  409  754 88 12  0  0  0
 2  0      0 755304 129648 1032844    0    0     0     0  412  725 93  7  0  0  0
 1  0      0 754188 129652 1032844    0    0     0  1592  398  558 97  3  0  0  0
 1  0      0 752204 129660 1032844    0    0     0    64  414  796 93  7  0  0  0
 2  0      0 749600 129660 1032844    0    0     0     0  404  751 96  4  0  0  0
 1  0      0 743028 129660 1032844    0    0     0     0  408  808 94  6  0  0  0
 1  0      0 735340 129660 1032844    0    0     0     0  422  746 94  6  0  0  0
 1  0      0 728768 129660 1032988    0    0     0     0  401  482 94  6  0  0  0
 1  0      0 722196 129668 1033144    0    0     0    16  412  559 92  8  0  0  0
 1  0      0 718228 129668 1033240    0    0     0     0  434  849 93  7  0  0  0
 3  0      0 714756 129668 1033368    0    0     0     0  456  963 92  8  0  0  0
 1  0      0 709176 129668 1033496    0    0     0     0  408  672 92  8  0  0  0
 1  0      0 703596 129668 1033608    0    0     0     0  431  862 91  9  0  0  0
 1  0      0 699504 129676 1033708    0    0     0    16  436  892 91  9  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 695660 129676 1033796    0    0     0     0  408  809 90 10  0  0  0
 1  0      0 690824 129676 1033964    0    0     0     0  380  703 96  4  0  0  0
 1  0      0 685864 129676 1034040    0    0     0     0  340  412 92  8  0  0  0
 2  0      0 680532 129676 1034184    0    0     0     0  339  432 92  8  0  0  0
 1  0      0 673712 129684 1034440    0    0     0    16  343  384 95  5  0  0  0
 1  0      0 668628 129684 1034580    0    0     0     0  367  844 88 12  0  0  0
 3  0      0 659824 129684 1034632    0    0     0     0  338  457 93  7  0  0  0
 2  0      0 653376 129684 1034780    0    0     0     0  373  554 93  7  0  0  0
 1  0      0 655856 129684 1034932    0    0     0     0  408  561 95  5  0  0  0
 1  0      0 655732 129692 1035012    0    0     0    36  382  498 97  3  0  0  0
 1  0      0 655732 129692 1035160    0    0     0     0  394  495 96  4  0  0  0
 1  0      0 655360 129692 1035336    0    0     0     0  362  479 93  7  0  0  0
 2  0      0 655112 129692 1035472    0    0     0     0  331  467 94  6  0  0  0
 1  0      0 654864 129692 1035700    0    0     0     0  339  446 93  7  0  0  0
 1  0      0 654740 129700 1035764    0    0     0    16  411  926 93  7  0  0  0
 4  0      0 654492 129700 1035848    0    0     0     0  417 1167 89 11  0  0  0
 2  0      0 654120 129700 1036004    0    0     0     0  397  902 94  6  0  0  0
 3  0      0 653872 129700 1036132    0    0     0     0  381  888 87 13  0  0  0
 2  0      0 653748 129700 1036336    0    0     0     0  359  703 91  9  0  0  0
 1  0      0 653624 129708 1036408    0    0     0    92  351  592 89 11  0  0  0
 1  0      0 653500 129708 1036532    0    0     0     0  382  775 92  8  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 651888 129708 1036680    0    0     0     0  398  816 92  8  0  0  0
 1  0      0 651888 129708 1036732    0    0     0     0  399  843 91  9  0  0  0
